,precision,recall,f1-score,support
A,1.0,0.9428571428571428,0.9705882352941176,35.0
B,0.972972972972973,1.0,0.9863013698630136,36.0
C,1.0,1.0,1.0,34.0
D,1.0,0.9512195121951219,0.975,41.0
DELETE,1.0,1.0,1.0,31.0
E,1.0,0.975,0.9873417721518988,40.0
F,0.9791666666666666,1.0,0.9894736842105263,47.0
G,1.0,1.0,1.0,40.0
H,0.975609756097561,1.0,0.9876543209876543,40.0
I,1.0,0.975,0.9873417721518988,40.0
J,1.0,0.9767441860465116,0.9882352941176471,43.0
K,1.0,1.0,1.0,45.0
L,0.9772727272727273,1.0,0.9885057471264368,43.0
M,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0
N,0.9090909090909091,0.9523809523809523,0.9302325581395349,21.0
O,0.9736842105263158,0.9736842105263158,0.9736842105263158,38.0
P,1.0,0.9696969696969697,0.9846153846153847,33.0
Q,0.9722222222222222,1.0,0.9859154929577465,35.0
R,1.0,1.0,1.0,41.0
S,0.9772727272727273,1.0,0.9885057471264368,43.0
SPACE,0.9310344827586207,1.0,0.9642857142857143,27.0
T,1.0,1.0,1.0,39.0
U,0.9761904761904762,0.9761904761904762,0.9761904761904762,42.0
V,1.0,1.0,1.0,41.0
W,0.975609756097561,1.0,0.9876543209876543,40.0
X,1.0,0.9722222222222222,0.9859154929577465,36.0
Y,1.0,0.9767441860465116,0.9882352941176471,43.0
Z,1.0,1.0,1.0,38.0
accuracy,0.9858356940509915,0.9858356940509915,0.9858356940509915,0.9858356940509915
macro avg,0.983787601181953,0.9845594922888624,0.9839858147762063,1059.0
weighted avg,0.9862121938591025,0.9858356940509915,0.9858546018936403,1059.0
